Name_1,Mod,Nc,Q,C,Fn,f1,mag1_1,f2,mu02,f3,mag3,f4,mu04,f5,mag5,mag1_2,mag2,mstar,dmean,type,t_1,incl,Dist,__T_,__F_
IC3517,_dbarf,2,5,BAR,ferrer2,,,,,,,0.014,23.407,,,15.098,15.507,8.808,23.267,SABm,8.5,59.47,17.0,8.5,0.75
IC3521,_dbar,2,5,BAR,ferrer2,,,,,,,0.247,20.265,,,13.03,13.476,9.373,16.7,IB,9.9,48.01,17.0,10.0,1.0
IC4214,_bdbar,3,5,BAR,ferrer2,,,,,,,0.247,19.684,,,10.745,11.183,10.708,27.3,SBa,1.4,55.61,27.3,0.0,0.12
IC4237,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.019,19.397,,,11.977,12.395,10.533,40.073,SBb,3.5,51.7,40.1,3.0,1.0
IC4536,_dbarn,3,5,BAR,ferrer2,,,,,,,0.032,21.335,,,12.931,13.334,9.984,33.4,SBcd,7.4,54.24,,7.0,1.0
IC5007,_dbarf,2,5,BAR,ferrer2,,,,,,,0.049,19.442,,,12.445,12.884,10.221,34.043,Scd,6.7,52.23,34.0,8.0,1.0
IC5240,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.027,21.38,,,11.314,11.803,10.455,25.36,SBa,1.1,49.59,25.4,0.0,1.0
IC5270,_dbar,2,5,BAR,ferrer2,,,,,,,0.04,18.457,,,11.875,12.26,10.055,22.647,SBc,5.7,58.21,22.7,7.0,1.0
IC5273,_dbar,2,5,BAR,ferrer2,,,,,,,0.036,17.194,,,11.326,11.747,10.029,16.557,SBc,5.7,50.95,16.6,5.5,1.0
NGC0210,_bdbar,3,5,BAR,ferrer2,,,,,,,0.214,20.326,,,10.792,11.198,10.437,20.983,SABb,3.1,55.36,21.0,2.0,0.5
NGC0254,_bdbar,3,5,BAR,ferrer2,,,,,,,0.163,20.592,,,11.387,11.85,10.064,17.1,S0-a,-1.2,57.37,17.1,-1.0,0.38
NGC0255,_ndbar,3,5,BAR,ferrer2,,,,,,,0.04,19.368,,,12.252,12.641,9.798,20.0,Sbc,4.1,26.16,20.0,6.5,1.0
NGC0289,_ndbar,3,5,BAR,ferrer2,,,,,,,0.064,18.189,,,10.522,10.948,10.631,22.767,SBbc,4.0,42.95,22.8,1.5,0.62
NGC0337,_dbar,2,5,BAR,ferrer2,,,,,,,0.108,20.185,,,11.465,11.867,10.211,22.129,SBcd,6.7,50.64,22.1,6.0,0.5
NGC0337A,_dbar,2,5,BAR,ferrer2,,,,,,,0.074,22.293,,,12.882,13.302,9.241,13.7,SABd,8.0,56.12,13.7,9.0,0.5
NGC0428,_dbarn,3,5,BAR,ferrer2,,,,,,,0.073,21.798,,,11.808,12.268,9.759,14.66,SABm,8.6,47.89,14.7,8.0,0.38
NGC0450,_dbar,2,5,BAR,ferrer2,,,,,,,0.053,20.126,,,12.512,12.904,9.699,20.05,SABc,5.8,49.76,20.1,6.5,0.5
