Name_1,Mod,Nc,Q,C,Fn,f1,mag1_1,f2,mu02,f3,mag3,f4,mu04,f5,mag5,mstar,dmean,type,t_1,incl,Dist,__T_,__F_
NGC1022,_bdbar,3,5,BAR,ferrer2,,,,,,,0.075,20.277,,,10.186,18.5,SBa,1.1,59.89,18.5,-0.5,0.5
NGC1036,_dbar,2,5,BAR,ferrer2,,,,,,,0.179,19.167,,,8.994,11.2,S0-a,0.0,50.47,,10.0,1.0
NGC1051,_ndbar,3,5,BAR,ferrer2,,,,,,,0.027,22.253,,,9.269,15.9,SBm,8.8,64.52,15.9,7.0,0.5
NGC1073,_dbar,2,5,BAR,ferrer2,,,,,,,0.058,20.233,,,9.972,15.2,SBc,5.3,52.28,15.2,5.5,1.0
NGC1079,_bdbarfn,4,5,BAR,ferrer2,,,,,,,0.111,20.249,,,10.578,26.05,SABa,0.6,61.64,26.1,-1.0,0.25
NGC1087,_dbar,2,5,BAR,ferrer2,,,,,,,0.049,17.738,,,10.228,17.512,SABc,5.2,54.25,17.5,6.5,1.0
NGC1179,_dbarn,3,5,BAR,ferrer2,,,,,,,0.025,20.556,,,9.802,18.171,Sc,5.9,48.03,18.2,6.0,0.88
NGC1187,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.013,21.301,,,10.429,18.829,Sc,5.0,44.28,18.8,4.0,0.75
NGC1232,_bdbar,3,5,BAR,ferrer2,,,,,,,0.018,21.315,,,10.72,18.667,SABc,5.0,32.6,18.7,5.0,0.5
NGC1255,_dbar,2,5,BAR,ferrer2,,,,,,,0.026,18.999,,,10.291,21.506,SABb,4.0,58.81,21.5,6.0,1.0
NGC1258,_dbarfn,3,5,BAR,ferrer2,,,,,,,0.016,21.566,,,9.556,25.76,SABc,5.7,43.69,25.8,2.0,0.5
NGC1291,_bdbar,3,5,BAR,ferrer2,,,,,,,0.157,20.4,,,10.764,8.6,S0-a,0.1,29.41,8.6,-1.0,0.5
NGC1300,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.06,21.07,,,10.576,18.05,Sbc,4.0,61.81,18.1,3.0,1.0
NGC1302,_nbdbar,4,5,BAR,ferrer2,,,,,,,0.064,20.684,,,10.561,20.0,S0-a,0.1,25.92,,-1.0,0.5
NGC1306,_dbarn,3,5,BAR,ferrer2,,,,,,,0.23,19.329,,,9.859,30.55,Sb,2.8,57.64,,5.5,0.25
NGC1309,_dbarn,3,5,BAR,ferrer2,,,,,,,0.055,19.964,,,10.423,28.025,Sbc,3.9,20.84,28.0,4.0,0.25
NGC1310,_dbarn,3,5,BAR,ferrer2,,,,,,,0.02,20.02,,,9.836,21.96,Sc,5.0,42.74,22.0,5.5,0.75
NGC1313,_dbarn,3,5,BAR,ferrer2,,,,,,,0.083,21.174,,,9.442,3.951,SBcd,7.0,34.79,4.0,7.2,1.0
NGC1326,_bdbar,3,5,BAR,ferrer2,,,,,,,0.182,19.911,,,10.551,16.983,S0-a,-0.8,52.93,17.0,-1.0,0.5
NGC1326A,_dbarf,2,5,BAR,ferrer2,,,,,,,0.021,23.073,,,8.894,16.894,Sm,8.9,58.08,16.9,9.5,1.0
NGC1341,_dbar,2,5,BAR,ferrer2,,,,,,,0.141,19.203,,,9.665,16.9,Sa,1.3,43.78,16.9,7.5,1.0
NGC1345,_dbar,2,5,BAR,ferrer2,,,,,,,0.215,19.145,,,9.277,18.1,Sc,5.2,35.56,18.1,9.0,1.0
NGC1350,_bdbarfn,4,5,BAR,ferrer2,,,,,,,0.095,20.538,,,10.825,20.938,Sab,1.9,64.79,20.9,0.0,0.38
NGC1365,_bdbarfn,4,5,BAR,ferrer2,,,,,,,0.143,19.892,,,10.978,17.926,Sb,3.2,62.71,17.9,4.0,1.0
NGC1367,_bdbar,3,5,BAR,ferrer2,,,,,,,0.058,20.326,,,10.739,23.25,Sa,1.1,51.95,23.3,0.0,0.5
NGC1398,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.111,19.292,,,11.133,21.033,SBab,2.0,47.73,,1.0,1.0
NGC1452,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.197,19.502,,,10.402,22.8,S0-a,0.4,46.48,,0.0,1.0
NGC1483,_dbar,2,5,BAR,ferrer2,,,,,,,0.087,21.725,,,9.584,20.72,SBbc,4.0,37.3,20.7,7.5,1.0
NGC1493,_dbarn,3,5,BAR,ferrer2,,,,,,,0.029,20.501,,,9.625,11.3,SBc,6.0,22.81,11.3,5.5,1.0
NGC1533,_bdbar,3,5,BAR,ferrer2,,,,,,,0.063,19.925,,,10.57,18.38,E-S0,-2.5,64.79,18.4,-2.0,1.0
NGC1559,_dbarf,2,5,BAR,ferrer2,,,,,,,0.012,18.672,,,10.39,15.681,SBc,5.9,60.19,,6.0,1.0
NGC1637,_dbarn,3,5,BAR,ferrer2,,,,,,,0.05,18.617,,,9.99,10.703,Sc,5.0,31.1,,3.0,0.5
NGC1640,_bdbarfn,4,5,BAR,ferrer2,,,,,,,0.136,19.771,,,10.181,19.1,Sb,3.0,17.22,19.1,1.5,1.0
NGC1672,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.121,19.951,,,10.661,14.5,Sb,3.3,28.23,,3.0,0.75
NGC1679,_dbar,2,5,BAR,ferrer2,,,,,,,0.085,20.611,,,9.537,12.729,SBm,9.4,49.12,12.7,9.5,1.0
NGC1688,_dbarn,3,5,BAR,ferrer2,,,,,,,0.16,19.283,,,9.684,15.45,SBc,6.2,48.22,,8.0,1.0
NGC1800,_dbar,2,5,BAR,ferrer2,,,,,,,0.182,20.342,,,8.74,7.4,S?,8.0,46.96,7.4,10.0,1.0
